Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,ANET,AJG,AIZ,ATO,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX,day,month
2018/01/31,238.1161957,60.57445145,104.465683,235,156.5549011,73.16207886,199.7599945,13.73999977,116.7041779,10.95758724,195.9872131,42.18012238,72.4477005,161.963501,66.98999786,63.35980988,108.4354782,123.9862289,119.3199997,262,84.56570435,174.5140686,250.7368164,37.94931412,95.36418152,1182.219971,1169.939941,63.59007645,1450.890015,10.79534912,53.89117813,53.31176758,64.72998047,97.26878357,61.09041595,143.233963,80.33313751,161.126297,96.56693268,75.36878967,176.5704193,91.18765259,88.65607452,161.6499939,242.8045654,139.6019897,65.14901733,42.98497772,39.37733078,162.9996948,52.00846481,93.17955017,40.61932373,29.57600212,275.8200073,65.76347351,87.83341217,79.84780121,34.17098999,115.6200027,119.2769928,765.4400024,162.1104431,118.5198135,30.68076324,37.68355942,30.89106369,54.83921432,70.72316742,52.18837738,237.631485,31,1
2018/02/01,235.6827698,60.59394073,108.3010025,253.1300049,156.321106,72.39225769,199.3800049,13.25,117.0034485,10.91019344,198.0783234,42.89269638,71.85572815,160.443634,67.55999756,61.76930237,106.1130447,119.703598,118.0899963,255.5700073,83.64255524,172.8488922,251.1764221,37.30967331,95.31590271,1181.589966,1167.699951,63.21941757,1390,10.79534912,52.53984451,52.8799324,63.84532166,97.85591888,61.32935333,142.6132965,79.04850006,163.3994446,96.19876862,76.95914459,176.1053772,91.23680878,88.43415833,163.3999939,238.9643402,141.870285,65.15877533,42.81253815,38.3985405,163.3404236,51.66904449,94.29911041,40.15591049,29.68444824,275,66.60092926,89.35041046,79.26026917,35.73126602,115.5699997,116.1800079,764.3800049,156.1264496,116.2784882,30.96705246,37.75247192,31.37373734,55.61296463,68.68091583,52.67064285,236.2425385,1,2
2018/02/02,233.0496979,60.11643219,107.211853,248.1999969,152.8529053,70.48745728,195.6399994,12.44999981,113.6516495,10.5405159,193.5131836,42.53879929,70.29686737,156.6439362,65.72000122,62.23199463,102.5273743,118.6520615,116.1500015,257.3800049,80.38210297,167.0111084,244.1425934,37.14736938,94.56281281,1119.199951,1111.900024,62.74028015,1429.949951,10.79534912,52.23532867,51.1329689,63.76062775,94.60710907,60.24937439,140.8289337,78.44965363,159.9801788,93.03058624,76.30719757,177.4815063,89.69358063,85.983284,160.2899933,234.3110352,140.9963684,63.06129074,41.02109909,38.16326523,156.253067,49.1476593,92.73403168,39.18180084,28.69857979,273.480011,66.00413513,88.28466034,78.4993515,34.73670197,111.6399994,114.3951569,750.5800171,155.9837341,113.6410599,29.79630852,36.87633896,30.84279442,54.48135376,67.30632019,52.11273193,231.928894,2,2
2018/02/05,219.9984589,57.23193741,101.9429474,239.3699951,147.9136963,67.09238434,190.2700043,11.56999969,109.5915985,10.04761505,185.0603027,41.22844696,67.30740356,150.3816376,62.81000137,60.4776268,102.1775436,114.5988541,112.7200012,242.3999939,77.69125366,159.7404938,233.2694397,36.4886322,91.74349213,1062.390015,1055.800049,59.70271301,1390,10.79534912,51.53111267,48.93032074,62.56542206,90.03723907,57.94606018,137.7451019,76.1315155,153.1893463,89.03884888,72.99808502,165.8461761,86.90203094,82.40345764,156.0200043,225.7587585,137.805069,60.05651474,39.21049881,37.33505249,152.3491669,46.84931564,89.71212769,38.39684296,26.14518547,265.3699951,63.79017639,84.66495514,76.3899765,33.42278671,109.1800003,110.0536041,731.5900269,151.2840424,109.9505997,28.19373512,35.94113922,29.21136093,52.59535217,64.33127594,50.01347351,219.9074402,5,2
2018/02/06,222.0801849,57.3586235,103.5161667,232.1100006,150.6999207,68.78991699,194.4700012,11.64999962,111.9258804,10.02865505,187.2201538,40.94628525,67.53430939,154.1236267,63.66999817,60.91139984,104.4999847,113.3178864,114.9100037,241.4499969,78.67331696,162.9643555,235.8973694,35.81079483,93.26901245,1084.430054,1080.599976,60.14569855,1442.839966,10.79534912,50.43673325,50.32664871,61.08787155,92.16069794,57.59243011,135.9316101,76.67042542,153.3517456,88.69005585,73.79818726,167.649353,87.04946899,85.43328094,157.1000061,230.0496216,137.3926544,60.79794693,39.39251709,37.2879982,158.7161102,48.73065567,91.14925385,39.72087097,24.92271233,272.3800049,62.95274353,84.96257782,75.15710449,33.6052742,112.6200027,108.9730225,745.0700073,152.4542236,110.3660278,28.04019737,36.354599,30.11878586,53.66892624,65.4604187,50.78887177,222.5484314,6,2
2018/02/07,221.6619415,57.17346573,105.7689514,239.0200043,151.148056,68.55305481,192.3399963,11.60000038,109.661438,9.933866501,184.7324066,40.9367218,67.14954376,152.1901245,64.48000336,61.91389847,103.6156921,113.7193756,117.1500015,234.3300018,78.52599335,164.9586945,241.0554962,35.80124664,93.52970123,1055.410034,1048.579956,60.38074493,1416.780029,10.79534912,50.61754227,50.54298019,60.65494156,91.60292816,57.79314423,135.7667847,75.69940948,152.9219513,91.28662109,73.2549057,168.427597,86.77424622,82.35520172,155.0299988,233.5861053,138.0112915,61.18818283,37.88847733,36.9021225,155.3184357,47.21782684,92.22218323,39.90055847,24.74525452,281.6199951,63.63617706,84.96257782,75.59053802,33.69652557,110.5400009,109.5615463,728.3300171,150.5800629,110.8877106,27.6467495,38.71721268,30.16704941,53.52384186,64.36074066,50.89289093,217.0708008,7,2
2018/02/08,211.8711395,54.83468628,100.9841232,229.5,146.6277466,64.97045135,185.1600037,11.22000027,109.3621597,9.535754204,176.1186829,39.81287003,64.1798172,146.9859772,62.49000168,61.73075104,102.2066879,109.5323257,108.4700012,220.7100067,75.93334198,158.9659882,235.0474548,35.45755386,86.95452118,1007.710022,1001.52002,57.90367508,1350.5,10.79534912,50.04655838,47.78966141,60.22732925,86.44592285,55.70008469,129.531189,73.85450745,145.6535492,88.69975281,71.17066193,164.2992096,82.99973297,79.77889252,148.8399963,225.876358,133.5925598,58.76875687,36.14493179,35.96098709,151.044632,44.36671448,87.87141418,39.10614395,24.1044426,264.519989,61.99016571,81.76534271,76.04323578,32.45559311,104.8099976,104.4385147,718.5700073,147.4025269,107.0136871,26.38964844,37.84106827,28.7093811,51.54112244,61.42499161,48.59038544,206.8197784,8,2
2018/02/09,214.0764618,55.71173096,103.6092682,229.3800049,149.8718567,66.20413208,187.9900055,11.31000042,108.8733597,9.668457985,177.2298431,40.53978729,66.083992,152.0746765,64.12999725,62.38622284,104.674881,112.8399048,108.5999985,229.3699951,77.08235931,157.5815735,235.115799,36.67956543,87.75590515,1046.27002,1037.780029,57.8855896,1339.599976,10.79534912,52.73969269,47.55366516,61.5006752,89.75344849,57.55421066,131.9362335,75.68000031,146.9716187,86.41322327,71.41761017,164.6219177,83.33394623,80.98503876,150.4100037,226.9931335,135.4189758,59.4711647,35.66593933,37.02447891,152.8921051,46.62627029,87.17254639,39.23854828,24.31147385,272.5499878,62.50996017,84.50173187,78.12371063,32.89356995,105.9400024,107.5065536,723.5,151.8453674,107.6802826,25.43002129,37.27994919,29.27893448,52.30519867,63.14323425,49.87483597,212.3952484,9,2
2018/02/12,217.8596954,55.94561005,104.1957321,233.7200012,150.9532166,67.42794037,192.1499939,11.68000031,109.2125397,9.734810829,178.1639557,40.71195221,67.51459503,153.6041718,64.93000031,63.62971497,108.4354782,113.8340988,115.4300003,233.1300049,78.31977081,157.2814636,242.5599518,36.73685455,87.6014328,1054.560059,1051.939941,59.0789299,1386.22998,10.79534912,52.40662384,49.25482178,61.57670212,92.66954803,56.97121429,132.1107635,75.66057587,148.9105072,86.66511536,73.09686279,165.9600677,84.93615723,82.06573486,153.7400055,228.0315399,137.4319305,60.46625519,36.50896835,36.95859528,159.050415,48.00333786,90.00743103,39.03048325,24.48892975,284.5400085,63.7324295,84.03125,77.43022156,33.18554688,108.3799973,107.718811,730.2000122,151.0271759,111.7282104,25.76589012,36.94525146,30.04155731,52.81780243,63.82071686,50.42668152,214.1070099,12,2
2018/02/13,219.9224243,56.16973877,104.1305695,233.9900055,152.7944641,67.14172363,193.4799957,11.77999973,105.960495,9.782206535,178.8916168,41.16148758,67.42579651,153.3733368,64.48999786,64.47798157,105.3842468,115.0577011,113.9700012,233.7299957,78.22155762,153.6606903,241.1304016,36.88005829,88.95313263,1054.140015,1052.099976,59.34109879,1414.51001,10.51053715,52.57791901,50.02181244,62.31789398,92.53255463,56.79917908,132.1883392,76.48592377,149.5886078,94.72608948,73.51172638,166.9755402,85.39811707,81.38064575,154.1999969,228.6976929,136.7151184,61.19793701,36.11619949,36.96800995,160.6437836,48.05181885,89.34791565,39.0966835,24.42977715,292.5799866,64.47363281,84.79936218,77.45910645,33.39541626,109.7900009,107.8828278,711.8800049,151.6455536,112.9164963,24.89263153,37.17166138,30.09947777,53.0112381,63.45743179,50.74065781,210.6932526,13,2
